scene_id,status,raw_matches,inlier_matches,img_spread_x,img_spread_y,map_spread_x,map_spread_y,img_area_frac,map_area_frac,warped_path,gcp_csv_path,qc_plot_path,overlay_plot_path,error
LuoJia1-01_LR201808032805_20180802213655_HDR_0018,warped,233,48,0.322265625,0.47889373285941106,0.296875,0.4179104891690341,0.12488486013899092,0.10100082524877507,WARPED_TIFS\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_gcpcorrected.tif,scene_work\LuoJia1-01_LR201808032805_20180802213655_HDR_0018\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201808032805_20180802213655_HDR_0018\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_match_qc.png,scene_work\LuoJia1-01_LR201808032805_20180802213655_HDR_0018\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_overlay_qc.png,
LuoJia1-01_LR201808214027_20180820140459_HDR_0007,warped,481,117,0.5859375,0.7920411333089121,0.4794921875,0.75390625,0.2828502568515246,0.21979967186962301,WARPED_TIFS\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_gcpcorrected.tif,scene_work\LuoJia1-01_LR201808214027_20180820140459_HDR_0007\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201808214027_20180820140459_HDR_0007\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_match_qc.png,scene_work\LuoJia1-01_LR201808214027_20180820140459_HDR_0007\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_overlay_qc.png,
LuoJia1-01_LR201807186256_20180717151340_HDR_0037,too_few_raw_matches,11,0,,,,,,,,,,,
LuoJia1-01_LR201808168271_20180815170240_HDR_0021,too_few_raw_matches,6,0,,,,,,,,,,,
LuoJia1-01_LR201807117767_20180711030533_HDR_0001,poor_spatial_spread,177,59,,,,,,,,,,,"spread img=(0.29,0.49) map=(0.26,0.42) | hull img=0.066 map=0.049"
LuoJia1-01_LR201808209021_20180819151905_HDR_0036,too_few_inliers,44,10,,,,,,,,,,,
LuoJia1-01_LR201808032805_20180802213924_HDR_0048,too_few_raw_matches,3,0,,,,,,,,,,,
LuoJia1-01_LR201808163350_20180815134559_HDR_0009,warped,224,76,0.5009765625,0.3276108369306448,0.451171875,0.3036342620849609,0.11691577025314981,0.09739807937692024,WARPED_TIFS\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_gcpcorrected.tif,scene_work\LuoJia1-01_LR201808163350_20180815134559_HDR_0009\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201808163350_20180815134559_HDR_0009\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_match_qc.png,scene_work\LuoJia1-01_LR201808163350_20180815134559_HDR_0009\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_overlay_qc.png,
LuoJia1-01_LR201806304569_20180629211015_HDR_0056,warped,503,283,0.7744141336780248,0.9417322488655722,0.66015625,0.814453125,0.557961695533184,0.40773248565528775,WARPED_TIFS\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_gcpcorrected.tif,scene_work\LuoJia1-01_LR201806304569_20180629211015_HDR_0056\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201806304569_20180629211015_HDR_0056\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_match_qc.png,scene_work\LuoJia1-01_LR201806304569_20180629211015_HDR_0056\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_overlay_qc.png,
LuoJia1-01_LR201808225477_20180821125555_HDR_0038,too_few_raw_matches,3,0,,,,,,,,,,,
LuoJia1-01_LR201808066233_20180806132730_HDR_0033,too_few_raw_matches,4,0,,,,,,,,,,,
LuoJia1-01_LR201808025505_20180801193950_HDR_0015,too_few_raw_matches,4,0,,,,,,,,,,,
LuoJia1-01_LR201808191496_20180818145650_HDR_0043,too_few_raw_matches,6,0,,,,,,,,,,,
LuoJia1-01_LR201808172931_20180816154830_HDR_0025,too_few_raw_matches,10,0,,,,,,,,,,,
LuoJia1-01_LR201808216966_20180820204115_HDR_0048,too_few_inliers,23,5,,,,,,,,,,,
LuoJia1-01_LR201808227516_20180821143035_HDR_0036,warped,518,213,0.8232421875,0.897959245954241,0.7646484375,0.7265625,0.5740539922936037,0.43272924423217773,WARPED_TIFS\LuoJia1-01_LR201808227516_20180821143035_HDR_0036_gcpcorrected.tif,scene_work\LuoJia1-01_LR201808227516_20180821143035_HDR_0036\LuoJia1-01_LR201808227516_20180821143035_HDR_0036_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201808227516_20180821143035_HDR_0036\LuoJia1-01_LR201808227516_20180821143035_HDR_0036_match_qc.png,scene_work\LuoJia1-01_LR201808227516_20180821143035_HDR_0036\LuoJia1-01_LR201808227516_20180821143035_HDR_0036_overlay_qc.png,
LuoJia1-01_LR201806304569_20180629210740_HDR_0025,warped,178,66,0.595703125,0.3030690288960153,0.5323660714285714,0.25390625,0.12772238147221132,0.09429605050536338,WARPED_TIFS\LuoJia1-01_LR201806304569_20180629210740_HDR_0025_gcpcorrected.tif,scene_work\LuoJia1-01_LR201806304569_20180629210740_HDR_0025\LuoJia1-01_LR201806304569_20180629210740_HDR_0025_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201806304569_20180629210740_HDR_0025\LuoJia1-01_LR201806304569_20180629210740_HDR_0025_match_qc.png,scene_work\LuoJia1-01_LR201806304569_20180629210740_HDR_0025\LuoJia1-01_LR201806304569_20180629210740_HDR_0025_overlay_qc.png,
LuoJia1-01_LR201806057936_20180603171237_HDR_0022,too_few_inliers,50,8,,,,,,,,,,,
LuoJia1-01_LR201808017650_20180731205034_HDR_0010,too_few_inliers,33,10,,,,,,,,,,,
LuoJia1-01_LR201808017650_20180731205329_HDR_0045,too_few_raw_matches,13,0,,,,,,,,,,,
LuoJia1-01_LR201807144680_20180713200805_HDR_0008,poor_spatial_spread,148,57,,,,,,,,,,,"spread img=(0.57,0.15) map=(0.52,0.13) | hull img=0.042 map=0.033"
LuoJia1-01_LR201808032805_20180802213549_HDR_0005,warped,148,35,0.7001953125,0.5503448250617617,0.658203125,0.4521484375,0.18693359422325828,0.14370059967041016,WARPED_TIFS\LuoJia1-01_LR201808032805_20180802213549_HDR_0005_gcpcorrected.tif,scene_work\LuoJia1-01_LR201808032805_20180802213549_HDR_0005\LuoJia1-01_LR201808032805_20180802213549_HDR_0005_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201808032805_20180802213549_HDR_0005\LuoJia1-01_LR201808032805_20180802213549_HDR_0005_match_qc.png,scene_work\LuoJia1-01_LR201808032805_20180802213549_HDR_0005\LuoJia1-01_LR201808032805_20180802213549_HDR_0005_overlay_qc.png,
LuoJia1-01_LR201806143261_20180613193854_HDR_0051,too_few_raw_matches,15,0,,,,,,,,,,,
LuoJia1-01_LR201808202902_20180820060100_HDR_0033,too_few_inliers,22,5,,,,,,,,,,,
LuoJia1-01_LR201808239311_20180822131944_HDR_0008,too_few_raw_matches,11,0,,,,,,,,,,,
LuoJia1-01_LR201808156618_20180814163920_HDR_0057,too_few_raw_matches,4,0,,,,,,,,,,,
LuoJia1-01_LR201808225477_20180821125645_HDR_0048,too_few_raw_matches,10,0,,,,,,,,,,,
LuoJia1-01_LR201808181946_20180817161200_HDR_0037,too_few_raw_matches,0,0,,,,,,,,,,,
LuoJia1-01_LR201806175049_20180616141638_HDR_0028,too_few_raw_matches,11,0,,,,,,,,,,,
LuoJia1-01_LR201806287870_20180623202145_HDR_0026,too_few_inliers,36,5,,,,,,,,,,,
LuoJia1-01_LR201808025505_20180801194040_HDR_0025,poor_spatial_spread,110,36,,,,,,,,,,,"spread img=(0.30,0.50) map=(0.25,0.46) | hull img=0.077 map=0.060"
LuoJia1-01_LR201808209021_20180819151609_HDR_0001,too_few_raw_matches,15,0,,,,,,,,,,,
LuoJia1-01_LR201806064831_20180603055113_HDR_0033,warped,265,71,0.482421875,0.5626535521522738,0.423828125,0.474609375,0.16557055818615207,0.12240551385184517,WARPED_TIFS\LuoJia1-01_LR201806064831_20180603055113_HDR_0033_gcpcorrected.tif,scene_work\LuoJia1-01_LR201806064831_20180603055113_HDR_0033\LuoJia1-01_LR201806064831_20180603055113_HDR_0033_lightglue_gcps.csv,scene_work\LuoJia1-01_LR201806064831_20180603055113_HDR_0033\LuoJia1-01_LR201806064831_20180603055113_HDR_0033_match_qc.png,scene_work\LuoJia1-01_LR201806064831_20180603055113_HDR_0033\LuoJia1-01_LR201806064831_20180603055113_HDR_0033_overlay_qc.png,
LuoJia1-01_LR201808156618_20180814163800_HDR_0041,too_few_raw_matches,9,0,,,,,,,,,,,
LuoJia1-01_LR201808172931_20180816155025_HDR_0048,too_few_raw_matches,4,0,,,,,,,,,,,
LuoJia1-01_LR201807158979_20180715142835_HDR_0058,too_few_raw_matches,14,0,,,,,,,,,,,
LuoJia1-01_LR201808014424_20180731222439_HDR_0027,too_few_raw_matches,5,0,,,,,,,,,,,
LuoJia1-01_LR201808237271_20180822145250_HDR_0023,too_few_inliers,24,5,,,,,,,,,,,
LuoJia1-01_LR201806207826_20180619220237_HDR_0022,too_few_inliers,21,10,,,,,,,,,,,
