scene_id,xml_path,tif_path,remote_xml_uri,remote_tif_uri,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,imaging_time,selection_rank
LuoJia1-01_LR201808032805_20180802213655_HDR_0018,local\LULO4\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_meta.xml,local\LULO4\LuoJia1-01_LR201808032805_20180802213655_HDR_0018_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808032805_20180802213655_HDR_0018_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808032805_20180802213655_HDR_0018_gec.tif,6.254545,38.484324,10.120003,41.079162,8.162559,39.753282,2018-8-2T21:36:42.28591,1
LuoJia1-01_LR201808214027_20180820140459_HDR_0007,local\LULO4\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_meta.xml,local\LULO4\LuoJia1-01_LR201808214027_20180820140459_HDR_0007_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808214027_20180820140459_HDR_0007_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808214027_20180820140459_HDR_0007_gec.tif,119.893698,27.152069,123.349929,29.783717,121.71538,28.525722,2018-8-20T14:4:47.19362,2
LuoJia1-01_LR201807186256_20180717151340_HDR_0037,local\LULO4\LuoJia1-01_LR201807186256_20180717151340_HDR_0037_meta.xml,local\LULO4\LuoJia1-01_LR201807186256_20180717151340_HDR_0037_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201807186256_20180717151340_HDR_0037_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201807186256_20180717151340_HDR_0037_gec.tif,102.285738,32.945011,105.875516,35.552478,104.105691,34.254529,2018-7-17T15:13:27.4020,3
LuoJia1-01_LR201808168271_20180815170240_HDR_0021,local\LULO4\LuoJia1-01_LR201808168271_20180815170240_HDR_0021_meta.xml,local\LULO4\LuoJia1-01_LR201808168271_20180815170240_HDR_0021_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808168271_20180815170240_HDR_0021_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808168271_20180815170240_HDR_0021_gec.tif,72.744191,42.646159,76.87759,45.254082,74.859361,43.956418,2018-8-15T17:2:27.31999,4
LuoJia1-01_LR201807117767_20180711030533_HDR_0001,local\LULO4\LuoJia1-01_LR201807117767_20180711030533_HDR_0001_meta.xml,local\LULO4\LuoJia1-01_LR201807117767_20180711030533_HDR_0001_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201807117767_20180711030533_HDR_0001_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201807117767_20180711030533_HDR_0001_gec.tif,-77.248037,34.81856,-73.500848,37.744217,-75.284555,36.3287,2018-7-11T3:5:21.117204,5
LuoJia1-01_LR201808209021_20180819151905_HDR_0036,local\LULO4\LuoJia1-01_LR201808209021_20180819151905_HDR_0036_meta.xml,local\LULO4\LuoJia1-01_LR201808209021_20180819151905_HDR_0036_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808209021_20180819151905_HDR_0036_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808209021_20180819151905_HDR_0036_gec.tif,103.314274,28.914999,106.732246,31.494425,104.977406,30.163936,2018-8-19T15:18:52.3658,6
LuoJia1-01_LR201808032805_20180802213924_HDR_0048,local\LULO4\LuoJia1-01_LR201808032805_20180802213924_HDR_0048_meta.xml,local\LULO4\LuoJia1-01_LR201808032805_20180802213924_HDR_0048_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808032805_20180802213924_HDR_0048_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808032805_20180802213924_HDR_0048_gec.tif,2.85349,47.544269,7.457197,50.183488,5.136367,48.837017,2018-8-2T21:39:12.12610,7
LuoJia1-01_LR201808163350_20180815134559_HDR_0009,local\LULO4\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_meta.xml,local\LULO4\LuoJia1-01_LR201808163350_20180815134559_HDR_0009_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808163350_20180815134559_HDR_0009_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808163350_20180815134559_HDR_0009_gec.tif,124.319986,37.244561,128.091204,39.824018,126.189249,38.511241,2018-8-15T13:45:47.2035,8
LuoJia1-01_LR201806304569_20180629211015_HDR_0056,local\LULO4\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_meta.xml,local\LULO4\LuoJia1-01_LR201806304569_20180629211015_HDR_0056_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806304569_20180629211015_HDR_0056_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806304569_20180629211015_HDR_0056_gec.tif,4.173028,50.494083,9.561198,53.839996,6.980368,52.402174,2018-6-29T21:10:2.45012,9
LuoJia1-01_LR201808225477_20180821125555_HDR_0038,local\LULO4\LuoJia1-01_LR201808225477_20180821125555_HDR_0038_meta.xml,local\LULO4\LuoJia1-01_LR201808225477_20180821125555_HDR_0038_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808225477_20180821125555_HDR_0038_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808225477_20180821125555_HDR_0038_gec.tif,133.915266,44.345215,138.212255,46.973171,136.109706,45.669706,2018-8-21T12:55:42.3677,10
LuoJia1-01_LR201808066233_20180806132730_HDR_0033,local\LULO4\LuoJia1-01_LR201808066233_20180806132730_HDR_0033_meta.xml,local\LULO4\LuoJia1-01_LR201808066233_20180806132730_HDR_0033_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808066233_20180806132730_HDR_0033_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808066233_20180806132730_HDR_0033_gec.tif,125.905928,40.662056,130.040299,43.328474,128.08173,42.044013,2018-8-6T13:27:17.38236,11
LuoJia1-01_LR201808025505_20180801193950_HDR_0015,local\LULO4\LuoJia1-01_LR201808025505_20180801193950_HDR_0015_meta.xml,local\LULO4\LuoJia1-01_LR201808025505_20180801193950_HDR_0015_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808025505_20180801193950_HDR_0015_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201808025505_20180801193950_HDR_0015_gec.tif,28.567562,54.111489,33.991253,56.803979,31.352981,55.469538,2018-8-1T19:39:38.21517,12
